----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed  |  Rel. |    Aki    | Acc. |            Ei           Ek            |              Lower level              |              Upper level              |Type|           TP  |    Line  |
          |      Wavelength |  Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------------|---------------------------------------|    |          Ref. |    Ref.  |
          |       Air (nm)  |  (?)  |           |      |                                       | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |               |          |
Ar II     |     650.9089    |     6 | 1.e+04    | D    |    17.77579154    -     19.68004775   | 3s2.3p4.(3P).3d       | 4F      | 3/2 | 3s2.3p4.(3P).4p       | 2D*     | 5/2 |    |          T926 |  L14821  |
Ar I      |     653.8112    |    15 | 1.1e+05   | D+   |    13.07571492    -     14.97152145   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* | 3   |    |        T1218n |   L2634  |
Ar I      |     660.4853    |    15 | 1.3e+04   | D    |    13.09487176    -     14.97152145   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* | 3   |    |        T1218n |   L2634  |
Ar II     |     663.82202   |   151 | 1.37e+07  | A    |    17.74308993    -     19.61030669   | 3s2.3p4.(3P).3d       | 4F      | 5/2 | 3s2.3p4.(3P).4p       | 4D*     | 3/2 |    |          T926 |  L11520  |
Ar II     |     663.97403   |    93 | 1.69e+07  | A    |    17.77579154    -     19.64258087   | 3s2.3p4.(3P).3d       | 4F      | 3/2 | 3s2.3p4.(3P).4p       | 4D*     | 1/2 |    |          T926 |  L11520  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar II     |     664.36973   |   269 | 1.47e+07  | B    |    17.62885526    -     19.49453270   | 3s2.3p4.(3P).3d       | 4F      | 9/2 | 3s2.3p4.(3P).4p       | 4D*     | 7/2 |    |          T926 |  L11520  |
Ar I      |     666.0676    |     5 | 7.8e+05   | D    |    13.15314307    -     15.0140646    | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* | 0   |    |        T1218n |   L2634  |
Ar I      |     666.4051    |     5 | 1.5e+05   | D+   |    13.09487176    -     14.95485113   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* | 2   |    |        T1218n |   L2634  |
Ar II     |     666.63587   |   117 | 8.8e+06   | B    |    17.94175001    -     19.80108536   | 3s2.3p4.(3P).3d       | 2P      | 1/2 | 3s2.3p4.(3P).4p       | 2P*     | 1/2 |    |          T926 |  L11520  |
