-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |   Rel. |    Aki    | Acc. |              Ei           Ek              |              Lower level              |              Upper level              |Type|        TP  |   Line  |
          |        Wavelength |   Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------------|---------------------------------------|    |       Ref. |   Ref.  |
          |         Air (nm)  |   (?)  |           |      |                                           | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |            |         |
Ne I      |        730.48422  |     89 | 2.55e+05  | B    |    18.96595253      -     20.66277272     | 2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0   | 2s2.2p5.(2P*<1/2>).5s | 2[1/2]* | 1   |    |      T8043 |  L9097  |
Ne I      |        743.88981  |  60000 | 2.31e+06  | B    |    16.71538006      -     18.38162211     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 0   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   |    | T205n,T172 |  L3451  |
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne I      |        747.24383  |   3100 | 4.0e+06   | D    |    18.38162211      -     20.04038524     | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]* | 1   |    |      T8043 |  L3451  |
Ne I      |        748.88712  |  32000 | 3.49e+07  | C    |    18.38162211      -     20.03674548     | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]* | 2   |    |      T682n |  L3451  |
Ne I      |        753.57739  |  28000 | 4.3e+07   | D    |    18.38162211      -     20.02644401     | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]* | 1   |    |      T8043 |  L3451  |
Ne I      |        793.69957  |   1300 | 7.8e+05   | C    |    18.57583488      -     20.13751003     | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 2   |    |      T8043 |  L9097  |
Ne I      |        808.24576  |   5700 | 1.2e+05   | B    |    16.84805266      -     18.38162211     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   |    |      T8043 |  L3451  |
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne I      |        811.85495  |   3800 | 4.9e+06   | D    |    18.61270414      -     20.13945611     | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 1   |    |      T8043 |  L3451  |
